,Sliding window,shenzhen,futian,baoan,pingshan,guangming,longhua,luohu,nanshan,yantian,longgang
0,2020/2/18,0.423204503,0.5160922,0.494411564,0.478786552,0.406375918,0.438766054,0.439691455,0.410113218,0.47412591,0.534156145
1,2020/2/19,0.411855942,0.499383365,0.494300928,0.482923833,0.398477314,0.424062741,0.425499497,0.382497376,0.455272238,0.502305123
2,2020/2/20,0.406880516,0.48798089,0.507901482,0.487558357,0.395933107,0.407679376,0.402956461,0.360535724,0.437494427,0.488083252
3,2020/2/21,0.401515398,0.469379178,0.500787796,0.493793364,0.3913144,0.385772824,0.391501618,0.354935647,0.449300877,0.478277404
4,2020/2/22,0.398813354,0.46776069,0.486343946,0.498529284,0.390306951,0.384210561,0.384430673,0.361696651,0.447893795,0.469611826
5,2020/2/23,0.394283033,0.457824192,0.464314541,0.489661265,0.385404665,0.369356346,0.380659475,0.382461963,0.433830652,0.462973563
6,2020/2/24,0.386484171,0.448776362,0.451500013,0.484849643,0.371047376,0.365315695,0.377360103,0.367939226,0.409845247,0.453310474
7,2020/2/25,0.380318718,0.448101982,0.439359072,0.473985735,0.367181196,0.347999172,0.371221222,0.367868434,0.391139598,0.446818284
8,2020/2/26,0.374470705,0.433896222,0.436810924,0.478328424,0.354380539,0.344335886,0.369562739,0.360365113,0.385622802,0.433893802
9,2020/2/27,0.365900786,0.421644039,0.432433668,0.467715222,0.347637938,0.343532388,0.358437349,0.353286307,0.371784109,0.415979166
10,2020/2/28,0.354038322,0.399342788,0.426122607,0.456025093,0.338063339,0.337011365,0.346700978,0.346936135,0.368820615,0.398164536
11,2020/2/29,0.349367038,0.387921403,0.41874411,0.447369606,0.33197885,0.342895519,0.345727039,0.338001428,0.372951451,0.397753697
12,2020/3/1,0.342482139,0.372356523,0.40971983,0.438495759,0.327138303,0.34231599,0.341658592,0.323593465,0.38256651,0.400348108
13,2020/3/2,0.337806946,0.365814742,0.40662659,0.433615215,0.323262135,0.353122509,0.336355614,0.313002047,0.371032796,0.399659906
14,2020/3/3,0.330909586,0.366160939,0.40422835,0.429699649,0.310641393,0.353426014,0.335864616,0.303604702,0.359101607,0.397410912
15,2020/3/4,0.327942329,0.376125979,0.414236076,0.41318608,0.300983964,0.349353532,0.335896372,0.288297358,0.338024259,0.397775106
