entropy_p,entropy_i,NCE_t,issuer,users,covid_topic,education_topic,environment_topic,reopen_topic,transportation_topic,volunteering_topic,policy_pos,policy_neg,reopen,covid_shenzhen,covid_CHN
-1.55E-09,3.65E-07,-0.000468969,1.242236025,15.54968944,-0.080745342,12.08385093,20.04037267,-2.338509317,6.888198758,28.51552795,0,0,0,0,-5.232919255
-1.50E-06,-0.000412937,-0.011348561,-13,-67,473,14,59,32,16,90,0,0,0,-1,-1028
-1.80E-06,1.86E-06,-0.004975426,-7,107,392,-11,66,15,0,93,0.35441801,0,0,0,268
-1.60E-06,0.000119839,-0.005365118,7,62,365,-10,62,16,0,81,1.537,0,0,0,-592
-1.00E-06,0.000194078,-0.002702044,-4,61,337,-12,44,-10,0,70,1.09127,0,0,1,250
-2.00E-07,-0.000113808,-0.004530321,-10,-19,216,-33,42,-13,0,6,0.7748017,0,0,-1,-428
5.00E-07,-0.000364534,-0.007798862,-18,-77,-33,-8,28,-29,8,36,0.550109207,0,0,0,296
-1.00E-07,-0.000331629,-0.006165453,-22,-1,-182,-54,32,-62,3,9,0.390577537,0,0,0,-106
-1.70E-06,-0.000942229,-0.005848013,-4,302,49,-18,30,-13,2,7,0.277310052,0,0,0,29
-5.00E-07,-0.000597469,-0.008569919,-44,30,-99,-12,13,-30,1,26,0.678931504,0,0,0,-111
-4.00E-07,-0.001039683,-0.011862464,-11,111,47,-16,20,-8,5,33,-1.537,0,0,0,101
1.50E-06,-0.000226702,-0.004671284,-28,57,-104,-17,22,-3,-6,13,-1.09127,0,0,0,149
2.20E-06,0.000123202,-0.006884899,-18,22,-184,-36,10,-10,2,3,-0.7748017,0,0,0,-373
8.00E-07,2.67E-05,-0.004675193,-11,76,-107,-9,-1,-16,-4,20,-0.550109207,0,0,1,-78
8.00E-07,0.000241632,-0.00689736,-16,22,-97,-18,11,-6,5,15,-0.390577537,0,0,-1,-8
1.00E-06,0.000158235,-0.002967257,-2,107,-129,-15,2,-5,-11,-9,-0.277310051,0,0,0,23
1.80E-06,0.000209497,-0.003984422,-32,-21,-214,-28,3,-13,8,-31,-1.033349515,0,0,0,2
6.00E-07,-0.000255408,4.10E-05,-18,104,-52,-15,14,-16,0,-11,0,0,0,1,-42
-1.00E-07,-0.000222811,-0.005623396,-5,185,-11,-10,55,11,1,9,0,0,0,-1,-57
3.00E-07,0.000167406,-0.003616734,-15,33,-153,3,23,14,21,-15,0,0,0,0,-1
-1.00E-07,-1.23E-05,-0.000500902,-6,30,-73,-10,29,5,-4,2,0,0,0,0,-25
-4.00E-07,-0.000349691,-0.002483685,-17,60,-24,12,51,11,-7,-18,0,0,0,0,11
