entropy_p,entropy_i,NCE_t,issuer,users,tasks,covid_topic,education_topic,environment_topic,reopen_topic,transportation_topic,volunteering_topic,policy,policy_pos,policy_neg,reopen,covid_shenzhen,covid_CHN
6.93E-05,0.055214609,0.423204503,1279,7560,31274,13086,1012,446,853,110,1762,0,0,0,0,1,1751
6.78E-05,0.054801672,0.411855942,1266,7493,33191,13559,1026,505,885,126,1852,0,0,0,0,0,723
6.60E-05,0.054803528,0.406880516,1259,7600,34994,13951,1015,571,900,126,1945,0,0.35441801,0,0,0,991
6.44E-05,0.054923367,0.401515398,1266,7662,36834,14316,1005,633,916,126,2026,0,1.89141801,0,0,0,399
6.34E-05,0.055117445,0.398813354,1262,7723,38421,14653,993,677,906,126,2096,0,2.98268801,0,0,1,649
6.32E-05,0.055003637,0.394283033,1252,7704,39368,14869,960,719,893,126,2102,0,3.75748971,0,0,0,221
6.37E-05,0.054639103,0.386484171,1234,7627,39874,14836,952,747,864,134,2138,0,4.307598917,0,0,0,517
6.36E-05,0.054307474,0.380318718,1212,7626,40671,14654,898,779,802,137,2147,0,4.698176454,0,0,0,411
6.19E-05,0.053365245,0.374470705,1208,7928,41998,14703,880,809,789,139,2154,0,4.975486506,0,0,0,440
6.14E-05,0.052767776,0.365900786,1164,7958,43144,14604,868,822,759,140,2180,0,5.65441801,0,0,0,329
6.10E-05,0.051728093,0.354038322,1153,8069,45132,14651,852,842,751,145,2213,0,4.11741801,0,0,0,430
6.25E-05,0.051501391,0.349367038,1125,8126,46214,14547,835,864,748,139,2226,0,3.02614801,0,0,0,579
6.47E-05,0.051624593,0.342482139,1107,8148,46517,14363,799,874,738,141,2229,0,2.25134631,0,0,0,206
6.55E-05,0.051651248,0.337806946,1096,8224,46936,14256,790,873,722,137,2249,0,1.701237103,0,0,1,128
6.63E-05,0.05189288,0.330909586,1080,8246,47726,14159,772,884,716,142,2264,0,1.310659566,0,0,0,120
6.73E-05,0.052051115,0.327942329,1078,8353,48409,14030,757,886,711,131,2255,0,1.033349515,0,0,0,143
6.91E-05,0.052260612,0.323957907,1046,8332,48678,13816,729,889,698,139,2224,0,0,0,0,0,145
6.97E-05,0.052005204,0.323998916,1028,8436,49310,13764,714,903,682,139,2213,0,0,0,0,1,103
6.96E-05,0.051782393,0.31837552,1023,8621,50047,13753,704,958,693,140,2222,0,0,0,0,0,46
6.99E-05,0.051949799,0.314758786,1008,8654,50358,13600,707,981,707,161,2207,0,0,0,0,0,45
6.98E-05,0.051937548,0.314257884,1002,8684,50808,13527,697,1010,712,157,2209,0,0,0,0,0,20
6.94E-05,0.051587857,0.311774199,985,8744,51728,13503,709,1061,723,150,2191,0,0,0,0,0,31
