,user id,issued time,organizer id,task label
2751047,404,2020-02-18 09:30:00,574,6.0
2749672,3051,2020-02-18 11:00:00,2698,6.0
2749673,4429,2020-02-18 11:00:00,2698,6.0
2749674,5796,2020-02-18 11:00:00,2698,6.0
2749675,8217,2020-02-18 11:00:00,2698,6.0
2749273,4011,2020-02-18 12:00:00,3339,2.0
2749272,3630,2020-02-18 12:00:00,3339,2.0
2749271,3380,2020-02-18 12:00:00,3339,2.0
2750336,1850,2020-02-18 14:00:00,307,6.0
2749407,3506,2020-02-18 14:00:00,2698,6.0
2749278,3743,2020-02-18 14:00:00,3380,6.0
2749277,3339,2020-02-18 14:00:00,3380,6.0
2750382,2052,2020-02-18 14:00:00,307,6.0
2750383,2442,2020-02-18 14:00:00,307,6.0
2748764,7795,2020-02-18 16:00:00,6430,6.0
2748765,7902,2020-02-18 16:00:00,6430,6.0
2748766,7945,2020-02-18 16:00:00,6430,6.0
2748767,8101,2020-02-18 16:00:00,6430,6.0
2748768,8177,2020-02-18 16:00:00,6430,6.0
2748763,7686,2020-02-18 16:00:00,6430,6.0
2748762,7672,2020-02-18 16:00:00,6430,6.0
2748760,7601,2020-02-18 16:00:00,6430,6.0
2748759,5761,2020-02-18 16:00:00,6430,6.0
2748761,7647,2020-02-18 16:00:00,6430,6.0
2747733,6745,2020-02-18 20:00:00,9346,2.0
2747734,7065,2020-02-18 20:00:00,9346,2.0
2747731,3618,2020-02-18 20:00:00,9346,2.0
2747736,12465,2020-02-18 20:00:00,9346,2.0
2747732,6624,2020-02-18 20:00:00,9346,2.0
2747735,9394,2020-02-18 20:00:00,9346,2.0
2748726,3989,2020-02-18 20:10:00,4058,6.0
2748725,3690,2020-02-18 20:10:00,4058,6.0
2748727,7698,2020-02-18 20:10:00,4058,6.0
2748139,2748,2020-02-19 07:00:00,7825,6.0
2747946,10058,2020-02-19 08:00:00,3707,0.0
2747945,9982,2020-02-19 08:00:00,3707,0.0
2747944,9457,2020-02-19 08:00:00,3707,0.0
2747943,6624,2020-02-19 08:00:00,3707,0.0
2747942,3675,2020-02-19 08:00:00,3707,0.0
2746535,3924,2020-02-19 08:00:00,4105,0.0
2747364,7806,2020-02-19 08:10:00,10046,0.0
2747365,11740,2020-02-19 08:10:00,10046,0.0
2747366,11759,2020-02-19 08:10:00,10046,0.0
2746320,12940,2020-02-19 09:00:00,4989,6.0
2746319,9667,2020-02-19 09:00:00,4989,6.0
2747571,5701,2020-02-19 09:00:00,6999,0.0
2747572,6136,2020-02-19 09:00:00,6999,0.0
2747573,10440,2020-02-19 09:00:00,6999,0.0
2746468,13615,2020-02-19 09:00:00,5607,6.0
2746466,6114,2020-02-19 09:00:00,5607,6.0
2746467,13509,2020-02-19 09:00:00,5607,6.0
2746463,5670,2020-02-19 09:00:00,5607,6.0
2746464,6064,2020-02-19 09:00:00,5607,6.0
2746465,6083,2020-02-19 09:00:00,5607,6.0
2743812,5882,2020-02-19 11:15:00,2528,6.0
